"PE1","PE2","EE1","EE2","SI1","SI2","FC1","FC2","HM1","HM2","PV1","PV2","HB1","HB2","VO1","VO2","TR1","TR2","EX1","EX2","ER1","ER2","AX1","AX2","BI1","BI2","BI3","BI4","Usage_MSCopilot","Usage_ChatGPT","Usage_Gemini","Usage_Other","Role","Education","Industry","Experience","Disability","Open_Feedback","AI_Adoption","Role_Category","Duration_minutes"
3,3,2,2,3,3,1,2,3,3,3,3,2,2,3,3,3,3,3,3,2,3,4,3,3,3,3,2,1,2,1,1,"Employed - individual contributor","Master’s degree","Healthcare","11 or more years","No","No",1,"IC",2.35
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,5,5,5,5,5,1,1,1,"Employed - individual contributor","Some college or vocational training","Other","11 or more years","No","none",1,"IC",2.61666666666667
4,5,5,4,4,5,5,4,4,5,4,4,5,4,5,5,4,5,4,5,1,2,2,2,4,4,4,4,4,4,5,4,"Employed - manager","Master’s degree","Finance or Banking","11 or more years","No","Yes using Ai has made life easier for me as a person",1,"Manager",5.11666666666667
4,4,3,4,4,3,4,4,4,4,4,5,4,4,5,2,3,3,4,3,2,4,4,3,4,4,4,3,1,4,2,1,"Freelancer or self employed","Master’s degree","Healthcare","11 or more years","No","None",1,"Freelancer",2.78333333333333
4,4,3,3,4,4,4,5,4,5,4,4,4,5,4,5,4,4,3,5,4,5,4,4,4,4,5,5,2,4,5,1,"Full time student","Bachelor’s degree","Government or Public sector","7 to 10 years","No","",1,"FT_Student",5.08333333333333
5,5,5,4,4,5,5,4,5,5,4,5,5,5,4,4,5,5,5,4,4,5,4,5,5,4,5,4,5,4,5,4,"Employed - manager","Doctoral or professional degree","Technology or IT","7 to 10 years","No","Specifically no, but artificial intelligence is a true revolution in the field of technology and can never be ignored; it is the future.",1,"Manager",10.5166666666667
4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,2,3,"Employed - manager","Bachelor’s degree","Retail or Hospitality","1 to 3 years","No","You have to use it to understand it! People whom fear it don't try using it!",1,"Manager",6.85
4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,2,3,2,2,4,4,4,5,2,1,4,1,"Employed - executive or leader","High school or less","Government or Public sector","11 or more years","No","None",1,"Executive",5.4
3,2,3,2,2,2,2,1,2,2,4,2,1,1,1,1,1,1,1,1,4,4,4,4,1,1,4,2,1,1,1,1,"Employed - individual contributor","High school or less","Retail or Hospitality","4 to 6 years","No","Not enough experience",0,"IC",2.4
4,5,4,4,3,3,4,4,3,3,3,4,3,3,4,5,3,4,3,5,4,4,4,3,3,3,3,4,2,3,3,1,"Employed - manager","Some college or vocational training","Healthcare","11 or more years","No","None",1,"Manager",3.6
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,5,5,5,5,4,5,4,4,"Employed - manager","Bachelor’s degree","Retail or Hospitality","11 or more years","No","nothing to add.",1,"Manager",2.45
4,4,3,3,4,4,2,4,3,4,4,4,3,3,4,4,3,3,2,3,2,3,3,2,4,4,4,4,2,1,3,3,"Employed - individual contributor","Master’s degree","Education","11 or more years","No","Not really.",1,"IC",7.01666666666667
4,2,4,3,2,2,2,2,3,3,3,3,2,4,4,4,3,4,2,4,5,5,3,3,3,2,2,3,1,3,1,1,"Employed - individual contributor","Some college or vocational training","Other","7 to 10 years","No","Useful but I don’t know a lot about it",1,"IC",6.05
3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,1,1,3,1,"Employed - individual contributor","High school or less","Retail or Hospitality","11 or more years","Prefer not to answer","",1,"IC",6
3,1,2,2,3,3,2,1,3,2,2,2,1,1,1,4,3,1,3,4,2,5,4,4,1,3,1,1,1,1,2,1,"Employed - individual contributor","Master’s degree","Education","11 or more years","No","none",1,"IC",2.73333333333333
5,4,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,"Employed - executive or leader","Master’s degree","Other","4 to 6 years","No","It's great",1,"Executive",2.8
4,4,4,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,3,4,5,5,4,2,3,4,2,"Employed - individual contributor","Bachelor’s degree","Education","11 or more years","No","None",1,"IC",2.58333333333333
4,3,3,4,2,2,2,2,4,4,4,3,4,3,4,4,3,3,4,4,5,5,4,4,3,3,4,2,1,5,3,1,"Freelancer or self employed","Bachelor’s degree","Other","7 to 10 years","Yes","",1,"Freelancer",4.15
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,"Not currently employed","Bachelor’s degree","Retail or Hospitality","11 or more years","No","No",1,"Unemployed",4.43333333333333
4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,2,"Employed - manager","Master’s degree","Technology or IT","7 to 10 years","No","no",1,"Manager",3.41666666666667
4,4,4,5,4,5,4,4,4,5,4,4,3,3,4,4,4,4,4,5,2,5,2,2,4,4,5,4,4,5,4,3,"Employed - executive or leader","Bachelor’s degree","Technology or IT","4 to 6 years","No","AI tool is 95% accurate",1,"Executive",4.35
5,5,4,5,5,4,5,5,4,4,5,5,5,4,5,5,4,4,4,5,2,4,2,4,5,4,5,5,4,5,5,4,"Employed - executive or leader","Master’s degree","Other","11 or more years","No","",1,"Executive",7.16666666666667
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,"Employed - executive or leader","Master’s degree","Government or Public sector","11 or more years","No","",1,"Executive",2.71666666666667
2,3,4,4,3,3,2,3,4,4,2,3,2,2,2,5,2,3,5,5,5,5,4,5,4,3,4,4,3,1,4,2,"Employed - individual contributor","Bachelor’s degree","Other","7 to 10 years","No","no",1,"IC",2.1
4,3,3,2,2,4,1,1,3,4,4,4,2,2,4,4,4,5,2,4,4,4,2,2,3,4,4,3,1,1,2,1,"Freelancer or self employed","High school or less","Other","11 or more years","No","None",1,"Freelancer",10.0666666666667
3,3,3,3,2,2,2,1,1,1,3,3,1,1,4,4,3,3,1,4,2,4,4,4,3,2,3,3,1,1,3,1,"Other","Doctoral or professional degree","Other","11 or more years","No","I have limited AI tool experiences and would be open to more if there could be a simplistic tool that I could follow on the internet for AI learning.",1,"Other",4.13333333333333
1,1,2,2,3,2,2,2,3,2,1,2,1,1,1,5,3,2,3,3,5,5,5,3,1,1,1,1,1,1,1,1,"Employed - executive or leader","Some college or vocational training","Other","7 to 10 years","No","Nope",0,"Executive",3.2
5,4,4,4,4,4,2,3,5,4,4,5,4,4,5,5,4,4,2,4,2,4,2,5,4,4,4,4,4,4,3,2,"Employed - executive or leader","Bachelor’s degree","Technology or IT","11 or more years","No","",1,"Executive",3.48333333333333
3,2,3,2,2,2,2,2,2,3,2,3,2,2,2,5,2,2,2,4,2,4,5,2,4,3,3,4,1,2,3,1,"Other","Bachelor’s degree","Other","11 or more years","No","I distrust images and video I see on social media because it can be difficult to determine if they're authentic or AI-generated.",1,"Other",5.6
3,3,3,4,3,4,4,4,3,4,3,4,3,4,4,4,3,4,3,4,4,5,4,4,4,4,4,4,2,3,2,2,"Employed - manager","Bachelor’s degree","Technology or IT","11 or more years","No","survey was ok",1,"Manager",5.5
5,5,4,4,4,5,3,3,5,4,5,4,4,4,3,2,4,4,4,5,2,2,2,4,4,4,4,4,2,5,2,1,"Other","Master’s degree","Education","11 or more years","No","No but thank you for the opportunity to share my opinions with you.",1,"Other",4.46666666666667
4,3,4,4,3,4,4,4,3,4,3,4,4,4,3,3,4,4,4,4,2,4,3,3,4,3,4,4,1,2,4,1,"Employed - individual contributor","Bachelor’s degree","Healthcare","1 to 3 years","Yes","",1,"IC",3.5
3,4,4,4,3,4,4,4,3,4,3,4,3,2,3,2,3,3,4,5,2,4,5,4,4,3,3,4,3,3,1,1,"Employed - individual contributor","Some college or vocational training","Education","Less than 1 year","No","It’s happening quickly with minimal oversight.",1,"IC",5.25
4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,5,4,4,2,5,2,5,4,4,4,4,4,2,4,4,4,1,"Employed - individual contributor","Bachelor’s degree","Other","7 to 10 years","No","i do use AI and it is helpful, but i am concerned about the amount of energy it uses",1,"IC",2.75
3,4,4,3,3,5,3,4,4,4,3,2,4,2,2,3,2,2,4,3,4,4,4,4,4,3,3,4,3,4,3,2,"Freelancer or self employed","Some college or vocational training","Other","4 to 6 years","No","No not really I think we covered everything",1,"Freelancer",2.53333333333333
5,4,4,4,5,4,4,5,5,3,4,5,4,3,4,2,4,5,4,5,4,3,3,2,4,5,4,3,5,5,4,3,"Employed - executive or leader","Bachelor’s degree","Technology or IT","1 to 3 years","No","No comment",1,"Executive",6.08333333333333
4,4,2,4,4,4,5,4,4,4,4,4,2,4,4,5,5,4,4,4,4,4,2,2,4,4,4,4,1,4,1,1,"Other","Bachelor’s degree","Education","11 or more years","No","No",1,"Other",5.86666666666667
5,5,4,4,2,4,4,4,4,4,4,4,4,2,4,5,3,3,3,4,2,4,3,5,4,4,4,4,4,4,3,1,"Employed - individual contributor","Master’s degree","Government or Public sector","11 or more years","No","No",1,"IC",2.95
4,3,3,3,4,4,3,3,4,4,4,4,2,2,3,4,4,4,3,4,4,4,4,5,3,3,2,2,2,2,3,1,"Other","Bachelor’s degree","Other","11 or more years","No","",1,"Other",2.63333333333333
5,5,4,4,4,4,4,4,5,4,4,4,5,4,4,4,5,5,4,4,4,4,2,3,4,4,5,4,3,5,1,1,"Freelancer or self employed","Bachelor’s degree","Other","4 to 6 years","No","AI helps for the future generations",1,"Freelancer",3.95
5,4,4,2,3,5,4,3,4,3,3,4,2,2,1,1,3,3,2,4,4,3,4,4,4,4,5,5,2,4,1,1,"Employed - individual contributor","Bachelor’s degree","Manufacturing","1 to 3 years","No","None that I know of",1,"IC",3.9
4,4,3,2,2,4,2,2,2,3,3,3,3,3,3,4,1,2,4,4,4,4,4,4,3,3,3,3,3,1,1,1,"Employed - manager","Bachelor’s degree","Other","11 or more years","No","AI is a solution looking for a problem.",1,"Manager",5.85
4,3,3,3,4,5,4,3,3,3,3,3,4,3,4,4,1,3,2,5,3,4,3,1,3,1,3,1,4,4,1,3,"Employed - individual contributor","Bachelor’s degree","Finance or Banking","4 to 6 years","No","",1,"IC",3.88333333333333
4,4,3,2,2,2,3,3,2,2,2,3,3,2,3,3,2,2,3,4,4,4,4,2,3,2,2,2,3,1,1,1,"Employed - manager","Some college or vocational training","Education","11 or more years","No","No",1,"Manager",4.9
4,3,4,4,3,3,4,4,4,4,4,4,3,2,3,2,3,3,4,4,2,4,3,4,3,3,2,3,1,3,1,1,"Not currently employed","Bachelor’s degree","Retail or Hospitality","11 or more years","No","",1,"Unemployed",3.73333333333333
1,1,3,2,2,1,1,1,1,1,1,1,1,1,1,5,1,1,2,4,2,4,5,4,1,1,1,1,1,1,2,1,"Freelancer or self employed","Master’s degree","Other","11 or more years","No","",1,"Freelancer",3.56666666666667
3,2,3,4,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,2,1,1,1,1,1,"Freelancer or self employed","Master’s degree","Other","1 to 3 years","No","not at this time",0,"Freelancer",2.91666666666667
4,3,4,4,2,2,2,4,4,3,4,4,4,2,4,4,2,3,2,4,2,4,4,4,3,4,4,2,3,4,2,1,"Full time student","Some college or vocational training","Other","Less than 1 year","No","",1,"FT_Student",2.08333333333333
4,4,4,4,3,2,4,4,3,4,4,4,4,4,2,4,4,4,4,4,4,4,5,5,5,4,5,5,4,5,1,1,"Full time student","Some college or vocational training","Finance or Banking","Less than 1 year","No","Nope.",1,"FT_Student",7.26666666666667
4,3,5,4,3,4,5,4,3,3,4,4,2,2,4,3,4,4,4,4,2,3,2,2,4,4,2,3,1,4,3,2,"Full time student","High school or less","Other","Less than 1 year","No","No",1,"FT_Student",7.76666666666667
4,3,5,4,3,3,4,4,3,3,4,4,5,4,4,4,3,4,2,4,5,3,4,2,3,3,2,2,1,5,3,4,"Full time student","Some college or vocational training","Other","Less than 1 year","No","",1,"FT_Student",6.45
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,1,1,1,1,1,1,1,1,1,"Full time student","Some college or vocational training","Other","4 to 6 years","Yes","",0,"FT_Student",2.56666666666667
3,3,2,4,3,3,3,4,2,2,3,3,2,1,2,5,3,3,2,3,4,4,5,4,2,2,2,1,1,1,1,1,"Full time student","Bachelor’s degree","Healthcare","1 to 3 years","Prefer not to answer","",0,"FT_Student",4.65
4,4,4,4,3,3,3,3,4,4,4,4,4,4,3,3,3,3,4,3,3,3,4,3,4,4,4,3,2,5,1,2,"Full time student","Bachelor’s degree","Finance or Banking","1 to 3 years","No","AI needs to be cautious of its environmental impacts because It cant be sustainable",1,"FT_Student",57.3833333333333
3,2,3,3,3,5,4,2,4,1,5,5,3,2,5,4,2,2,4,3,3,4,4,2,2,4,2,2,3,5,3,4,"Full time student","Some college or vocational training","Retail or Hospitality","11 or more years","No","No",1,"FT_Student",1.38333333333333
4,3,3,2,4,3,4,4,4,4,3,3,3,4,2,4,4,4,4,2,2,3,3,2,2,4,2,3,3,4,1,1,"Full time student","Some college or vocational training","Healthcare","Less than 1 year","No","",1,"FT_Student",10.65
3,3,4,4,4,4,4,3,3,3,2,2,2,2,2,4,3,2,3,4,5,4,4,4,2,3,4,2,5,2,1,3,"Full time student","Bachelor’s degree","Other","1 to 3 years","No","With some of the AI tools that I have used, I do find that some have a hard time trying to translate the documents that I ask it to interpret or if I ask it to make a podcast, there will be times where the sentences are jumbled or the podcast cuts off entirely.",1,"FT_Student",4.83333333333333
1,5,5,5,5,4,5,4,4,5,5,3,5,5,4,5,4,4,4,4,2,4,2,4,2,4,4,4,4,3,4,4,"Full time student","Bachelor’s degree","Finance or Banking","Less than 1 year","No","Currently no",1,"FT_Student",8.56666666666667
5,5,5,4,3,4,5,5,4,4,5,5,4,4,4,5,5,5,3,4,1,1,2,2,4,4,4,4,1,5,4,3,"Full time student","Some college or vocational training","Healthcare","Less than 1 year","No","",1,"FT_Student",3.33333333333333
4,4,4,4,3,2,4,4,3,3,4,3,3,2,4,4,4,4,4,4,2,4,4,4,3,4,4,2,2,4,1,1,"Full time student","Some college or vocational training","Government or Public sector","Less than 1 year","Yes","",1,"FT_Student",2.65
4,4,5,3,3,3,2,4,4,4,5,3,4,4,5,5,3,4,4,5,2,3,4,2,5,4,3,4,2,1,1,4,"Full time student","Some college or vocational training","Healthcare","Less than 1 year","No","No",1,"FT_Student",3.41666666666667
4,3,4,5,3,2,4,3,3,4,3,4,4,4,3,3,4,5,3,4,3,4,3,2,4,3,2,3,4,4,4,3,"Full time student","High school or less","Other","4 to 6 years","No","N/A - Nothing at all",1,"FT_Student",6.83333333333333
5,4,5,5,3,2,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,3,4,4,5,5,5,4,1,5,2,1,"Full time student","Some college or vocational training","Other","1 to 3 years","Yes","",1,"FT_Student",2.46666666666667
5,3,5,4,3,3,2,4,2,2,4,4,5,4,4,5,4,4,2,3,1,4,5,5,3,3,2,3,1,5,1,1,"Full time student","Some college or vocational training","Other","1 to 3 years","No","Not really it’s just sad that it’s kind of taking over",1,"FT_Student",3.66666666666667
3,3,4,3,2,3,2,4,2,3,3,3,2,4,4,5,3,3,2,4,2,4,3,1,2,3,1,1,2,1,1,1,"Full time student","Some college or vocational training","Healthcare","Less than 1 year","Prefer not to answer","",1,"FT_Student",12.0833333333333
2,1,4,4,2,3,3,3,1,2,2,1,2,2,2,4,1,2,2,2,4,4,5,2,2,1,1,1,2,3,1,1,"Full time student","Some college or vocational training","Education","4 to 6 years","Yes","It is destroying the environment. After having used it sometimes, it is not worth the harm to me, others, and the world.",1,"FT_Student",3.7
5,1,5,4,1,3,5,5,2,1,1,2,4,4,4,5,3,3,1,5,1,5,4,1,2,2,2,1,4,5,1,1,"Full time student","High school or less","Healthcare","Less than 1 year","No","I use AI almost daily to help me with my work. But most of the time is use it not for the answer but to explain to me how to do something",1,"FT_Student",3.93333333333333
5,5,5,5,3,1,2,3,2,3,5,5,5,5,5,5,3,3,2,4,5,5,5,5,3,3,3,3,1,4,4,2,"Full time student","Some college or vocational training","Other","11 or more years","Yes","No",1,"FT_Student",2.5
4,4,4,4,3,2,2,3,4,3,4,4,4,3,4,5,3,3,2,5,2,4,4,2,4,4,4,3,1,4,1,1,"Full time student","Some college or vocational training","Retail or Hospitality","4 to 6 years","No","No",1,"FT_Student",2.7
4,3,4,4,2,4,4,4,2,1,2,3,4,2,4,5,2,2,2,5,2,4,5,4,2,1,2,1,1,3,1,4,"Full time student","Some college or vocational training","Other","1 to 3 years","No","",1,"FT_Student",7.61666666666667
4,4,5,4,3,4,2,2,2,2,4,2,4,2,5,5,1,2,2,4,1,4,4,2,1,4,5,2,4,5,3,2,"Full time student","Some college or vocational training","Other","Less than 1 year","No","Ai is useful for brainstorming and coming up with ideas but I wouldn’t trust it with factual information or writing things for me.",1,"FT_Student",6.13333333333333
3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,1,5,3,2,"Full time student","Some college or vocational training","Other","Less than 1 year","No","",1,"FT_Student",1.76666666666667
3,1,3,3,1,5,3,3,1,1,1,1,1,1,1,5,1,1,3,3,5,5,5,2,1,1,1,1,2,1,1,1,"Full time student","Some college or vocational training","Government or Public sector","4 to 6 years","Yes","I do not believe we understand or have even began to parse the ethical implications of AI tools and generative AI. Our laws are not evolving with the use of AI and this is creating a problem wherein misinformation and biased results are the norm and privacy is nothing. There are serious implications to the use of AI and I do not believe we have done our due diligence to make sure it is a boon for humanity and not a complete disaster. AI also uses an immense amount of electricity and FRESH WATER which we are not in infinite supply of.",1,"FT_Student",5.1
2,2,3,4,4,3,4,4,3,3,3,4,1,1,3,5,4,4,4,3,2,2,2,2,2,3,2,2,1,1,1,1,"Full time student","Some college or vocational training","Other","Less than 1 year","No","",0,"FT_Student",2.66666666666667
5,4,5,4,4,4,5,4,5,4,5,4,4,4,4,4,3,4,4,3,3,4,3,4,5,4,4,3,5,4,4,5,"Employed - executive or leader","Bachelor’s degree","Technology or IT","11 or more years","No","",1,"Executive",3.05
5,5,5,5,4,5,5,4,4,5,5,5,5,5,4,5,5,4,5,5,5,4,4,5,5,4,5,5,5,5,5,4,"Employed - manager","Master’s degree","Technology or IT","11 or more years","No","Users also acknowledge limitations such as the lack of genuine emotion or consciousness, the potential for over-reliance, and the need for human oversight to ensure accuracy and judgment.",1,"Manager",2.38333333333333
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,2,"Employed - individual contributor","High school or less","Other","1 to 3 years","No","No feedback",1,"IC",3.93333333333333
4,4,5,4,4,5,3,4,4,4,4,5,4,4,4,4,2,3,5,4,5,2,4,5,4,4,4,4,5,5,2,1,"Employed - manager","Master’s degree","Other","11 or more years","No","Hallucinations and outright incorrect information is still a large issue",1,"Manager",2.85
3,2,2,2,3,3,3,3,2,2,2,2,1,2,1,4,1,2,2,3,4,4,4,4,2,2,2,2,2,2,2,2,"Employed - manager","High school or less","Retail or Hospitality","11 or more years","No","",1,"Manager",3.18333333333333
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,2,4,5,5,5,5,3,5,4,2,"Employed - executive or leader","Master’s degree","Other","11 or more years","Yes","I love chatgpt",1,"Executive",2.46666666666667
5,5,4,4,3,4,5,4,3,3,4,4,4,4,4,4,4,4,3,5,4,4,2,5,4,4,4,4,5,1,3,1,"Employed - manager","Bachelor’s degree","Finance or Banking","11 or more years","No","Nothing comes to mind.",1,"Manager",2.66666666666667
3,4,4,4,4,3,4,4,4,3,4,4,2,4,1,3,3,4,3,4,3,4,2,4,3,4,3,5,3,1,1,1,"Employed - individual contributor","Some college or vocational training","Healthcare","11 or more years","No","I plan to take courses to keep up with AI",1,"IC",7.83333333333333
2,2,2,2,3,3,2,3,2,2,2,2,2,2,2,4,2,2,2,2,4,4,4,4,2,2,2,2,1,1,1,1,"Employed - individual contributor","Some college or vocational training","Retail or Hospitality","7 to 10 years","No","I’ve never dealt with AI.",0,"IC",9.76666666666667
